token,date,galaxy_score,sentiment,alt_rank,social_dominance,price_close
AAVE,2024-05-04,56.857142857142854,89.92857142857143,319,0.13110714285714284,89.014448
AAVE,2024-05-05,52.166666666666664,93.5,228,0.16053333333333333,89.72108
AAVE,2024-05-06,57.083333333333336,93.41666666666667,396,0.14482083333333332,87.918877
AAVE,2024-05-07,53.041666666666664,94.125,54,0.15862083333333332,88.161248
AAVE,2024-05-08,58.916666666666664,84.41666666666667,374,0.20523750000000004,86.381503
AAVE,2024-05-09,55.5,87.08333333333333,143,0.20793750000000003,89.872141
AAVE,2024-05-10,52.333333333333336,96.45833333333333,1134,0.18205833333333332,84.891934
AAVE,2024-05-11,52.625,85.66666666666667,699,0.15964166666666665,82.125193
AAVE,2024-05-12,52.75,87.875,148,0.14706249999999998,82.999029
AAVE,2024-05-13,55.958333333333336,91.33333333333333,259,0.17277083333333335,82.705528
AAVE,2024-05-14,56.125,93.25,183,0.12446666666666667,80.412037
AAVE,2024-05-15,48.75,91.79166666666667,178,0.13094166666666665,86.033199
AAVE,2024-05-16,52.625,93.41666666666667,216,0.12565416666666665,85.960991
AAVE,2024-05-17,52.291666666666664,97.25,500,0.11722083333333332,88.259172
AAVE,2024-05-18,48.916666666666664,94.41666666666667,424,0.13415416666666666,88.140816
AAVE,2024-05-19,55.583333333333336,91.58333333333333,296,0.11663333333333332,85.297908
AAVE,2024-05-20,52.291666666666664,90.125,86,0.11535000000000001,97.635159
AAVE,2024-05-21,62,92.04166666666667,233,0.131075,97.18502
AAVE,2024-05-22,55.666666666666664,94.20833333333333,380,0.14820000000000003,94.374122
AAVE,2024-05-23,50.083333333333336,93.95833333333333,29,0.15897916666666664,97.572265
AAVE,2024-05-24,55.583333333333336,94.20833333333333,15,0.1766,99.31715
AAVE,2024-05-25,56.5,95.54166666666667,53,0.23691666666666664,105.31
AAVE,2024-05-26,61.791666666666664,94.79166666666667,7,0.261675,109.68
AAVE,2024-05-27,57.666666666666664,93.04166666666667,433,0.2510875,108.74
AAVE,2024-05-28,50.125,91.95833333333333,229,0.21397083333333333,106.68
AAVE,2024-05-29,50.416666666666664,93.79166666666667,326,0.1808833333333333,103.76
AAVE,2024-05-30,46.958333333333336,89.95833333333333,170,0.16722916666666665,102.92
AAVE,2024-05-31,52.666666666666664,90.70833333333333,119,0.14910416666666668,103.13
AAVE,2024-06-01,55.125,89.04166666666667,674,0.1541375,103.94
AAVE,2024-06-02,56.541666666666664,87.45833333333333,622,0.14689999999999998,103.23
AAVE,2024-06-03,53.75,87.04166666666667,430,0.14519166666666664,100.82
AAVE,2024-06-04,56.583333333333336,91.08333333333333,236,0.19845833333333338,103.21
AAVE,2024-06-05,55.583333333333336,91.58333333333333,290,0.2059083333333334,104.46
AAVE,2024-06-06,63.208333333333336,90.79166666666667,230,0.13366666666666668,102.3
AAVE,2024-06-07,52.833333333333336,90.29166666666667,62,0.13646666666666665,98.06
AAVE,2024-06-08,57.833333333333336,85.58333333333333,676,0.11206666666666665,93.09
AAVE,2024-06-09,46.166666666666664,87.66666666666667,356,0.10676249999999997,93.61
AAVE,2024-06-10,53.916666666666664,87.83333333333333,196,0.12135416666666667,90.92
AAVE,2024-06-11,54.583333333333336,90.25,118,0.1111625,87.72
AAVE,2024-06-12,43.166666666666664,90.375,306,0.10320833333333333,89.98
AAVE,2024-06-13,47.958333333333336,88.75,586,0.095725,83.8
AAVE,2024-06-14,47.75,93.08333333333333,68,0.15769999999999998,83.5
AAVE,2024-06-15,48.5,90.41666666666667,36,0.15346249999999997,86.01
AAVE,2024-06-16,53.375,92.41666666666667,274,0.13285,85.43
AAVE,2024-06-17,49.166666666666664,91.16666666666667,127,0.1318458333333333,85.03
AAVE,2024-06-18,49.625,90.375,144,0.13941666666666666,81.46
AAVE,2024-06-19,53.875,91.58333333333333,32,0.12563333333333335,87.83
AAVE,2024-06-20,59.666666666666664,92.5,545,0.1406,85.08
AAVE,2024-06-21,52.791666666666664,91.70833333333333,416,0.116475,81.94
AAVE,2024-06-22,51.291666666666664,87.45833333333333,354,0.11327916666666667,81.35
AAVE,2024-06-23,48.208333333333336,91.08333333333333,137,0.15843333333333334,80.47
AAVE,2024-06-24,54,88.41666666666667,94,0.1695875,86.24
AAVE,2024-06-25,57.25,89.04166666666667,56,0.20635833333333334,91.8
AAVE,2024-06-26,58.708333333333336,89.29166666666667,12,0.191975,94.97
